iteration,p1_avg_regret,p2_avg_regret,p1_l1_to_uniform,p2_l1_to_uniform,p1_avg_rock,p2_avg_rock,p1_regret_rock,p2_regret_rock,p1_avg_paper,p2_avg_paper,p1_regret_paper,p2_regret_paper,p1_avg_scissors,p2_avg_scissors,p1_regret_scissors,p2_regret_scissors
1,0.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,-2.0,2.0,0.3333333333333333,0.3333333333333333,-1.0,0.0
100,0.19,0.05,0.1728740426240427,0.13149999999999995,0.41977035464535467,0.26758333333333334,11.0,-14.0,0.30216684704184693,0.3594166666666666,0.0,5.0,0.27806279831279834,0.373,19.0,-21.0
200,0.08,0.04,0.1415333991030966,0.09324999999999994,0.40410003288488167,0.28670833333333334,9.0,-12.0,0.3147775856442274,0.3535422077922078,-7.0,8.0,0.28112238147089097,0.3597494588744588,16.0,-14.0
300,0.09333333333333334,0.03,0.07586806780420668,0.104839240394968,0.36450967376380217,0.32882003310873276,28.0,-9.0,0.34009102680496783,0.2854270133604499,-20.0,9.0,0.29539929943123,0.38575295353081734,-14.0,6.0
400,0.0575,0.03,0.00843569938161115,0.08378636323257027,0.33112426781376564,0.3752265149496185,7.0,-5.0,0.33755118302413895,0.31162345763971155,23.0,-25.0,0.33132454916209547,0.31315002741067,-12.0,12.0
500,0.05,0.024,0.032173978352174615,0.06589468292285605,0.3494203225094207,0.36628067479476134,-10.0,12.0,0.31843652763548075,0.32753403521143454,25.0,-10.0,0.33214314985509863,0.30618528999380407,-9.0,-8.0
600,0.041666666666666664,0.008333333333333333,0.03675794579670083,0.04377971532538072,0.3517123062316838,0.32603307333647885,-20.0,5.0,0.32978006907832047,0.3552231909960237,1.0,2.0,0.3185076246899958,0.3187437356674974,25.0,-13.0
700,0.025714285714285714,0.005714285714285714,0.022940924740330326,0.007213735083041017,0.3448037957034985,0.33280273291993767,10.0,4.0,0.32518851587285896,0.33025706620520845,-1.0,-10.0,0.33000768842364253,0.3369402008748538,18.0,-21.0
800,0.035,0.0075,0.046278406923648985,0.015604627763876777,0.3485803190622023,0.33182739130494543,0.0,-32.0,0.3412255510662889,0.34113564721527173,5.0,6.0,0.3101941298715089,0.32703696147978284,28.0,-7.0
900,0.017777777777777778,0.023333333333333334,0.025275992323438023,0.031079772643610615,0.33568826058933954,0.3488732196551387,16.0,21.0,0.32069533717161436,0.31868955878811384,-11.0,-18.0,0.34361640223904616,0.33243722155674754,-11.0,3.0
1000,0.023,0.022,0.048157142636383654,0.03702570052577331,0.34947496261602595,0.35184618359622,23.0,-39.0,0.34127027536883253,0.31875323061329397,-3.0,22.0,0.3092547620151415,0.32940058579048603,-14.0,11.0
1100,0.016363636363636365,0.022727272727272728,0.03659745131798875,0.04634233884770733,0.33640169307538687,0.34660103043291846,-13.0,25.0,0.315034607674339,0.34323680565760184,16.0,-39.0,0.3485636992502742,0.31016216390947965,18.0,-7.0
1200,0.023333333333333334,0.021666666666666667,0.028888751300649607,0.027832754416937666,0.3477777089836582,0.3389544259985046,28.0,5.0,0.32861121645270286,0.3194169561248645,-47.0,26.0,0.323611074563639,0.34162861787663085,-29.0,17.0
1300,0.01769230769230769,0.03769230769230769,0.059483462891487926,0.03165701097402768,0.3477782051777585,0.3441954548852542,-6.0,49.0,0.3035916018875894,0.3382997172684263,7.0,-34.0,0.34863019293465214,0.3175048278463195,23.0,-39.0
1400,0.016428571428571428,0.03357142857142857,0.018141669803997784,0.061401245068069654,0.32677202421435947,0.36403395586736814,23.0,-11.0,0.3424041682353323,0.31413545174925295,19.0,-30.0,0.3308238075503084,0.32183059238337886,-48.0,47.0
1500,0.020666666666666667,0.03666666666666667,0.07061383756301015,0.019811974430104184,0.3686402521148384,0.3432393205483854,31.0,-26.0,0.3222294060767524,0.3271284676009462,-14.0,55.0,0.3091303418084092,0.3296322118506683,10.0,-56.0
1600,0.02,0.039375,0.060214987222937666,0.04860626944666352,0.3532758144238155,0.34582887110783606,-39.0,63.0,0.30322583972186457,0.3451409302821624,16.0,-11.0,0.34349834585432004,0.30903019861000164,32.0,-61.0
1700,0.023529411764705882,0.03470588235294118,0.0090780778130502,0.07379298782613347,0.3324948841635911,0.3702298272464001,-64.0,19.0,0.3378723722398585,0.32798549298563295,40.0,9.0,0.32963274359655054,0.30178467976796697,-63.0,59.0
1800,0.023333333333333334,0.03111111111111111,0.044027039873182405,0.040482905863944485,0.3387372299830377,0.35050671244916776,42.0,-52.0,0.34994295662022024,0.3130918804013611,-39.0,38.0,0.3113198133967422,0.33640140714947114,-45.0,56.0
1900,0.026842105263157896,0.03894736842105263,0.05080852375872996,0.014714861857926198,0.3587375952126984,0.33205899074131684,-8.0,-41.0,0.3315249062717876,0.34069076426229644,-43.0,74.0,0.30973749851551413,0.3272502449963867,51.0,-33.0
2000,0.0255,0.0485,0.03676934475027033,0.03968697269908672,0.3408007154520634,0.3335666527369533,-109.0,97.0,0.3149486609581982,0.35294350027925664,-56.0,12.0,0.3442506235897384,0.3134898469837899,51.0,5.0
2100,0.02142857142857143,0.039047619047619046,0.041087571216817886,0.06539837912690721,0.32457210995434616,0.3630361899449791,-81.0,82.0,0.3215507711039116,0.3363296662851411,45.0,-59.0,0.35387711894174234,0.3006341437698797,-21.0,34.0
2200,0.015909090909090907,0.03909090909090909,0.04235417823379334,0.05137843532752717,0.31215624421643673,0.35902255099709685,31.0,-51.0,0.350051960430082,0.321041954181271,35.0,-92.0,0.33779179535348136,0.31993549482163197,-9.0,86.0
2300,0.01956521739130435,0.026521739130434784,0.020456275555659043,0.041743591594173124,0.33876285006164625,0.3434446124823012,45.0,2.0,0.33813195438285,0.31246153753624684,-112.0,61.0,0.3231051955555039,0.3440938499814521,-56.0,60.0
2400,0.022083333333333333,0.03791666666666667,0.04465383972233311,0.008336003582364582,0.35566025319449995,0.32916533154215105,-1.0,1.0,0.32404312295023124,0.3356766148160401,-103.0,91.0,0.3202966238552689,0.33515805364180884,53.0,-41.0
2500,0.0212,0.0308,0.04450387060222283,0.023163203674393618,0.34143384306672,0.3384904826281927,-15.0,77.0,0.31108139803222196,0.3397577858756707,-17.0,-33.0,0.3474847589010581,0.32175173149613645,53.0,-65.0
2600,0.022307692307692306,0.029615384615384616,0.02851933196698908,0.06057136213413511,0.32904886802919764,0.36361901440040095,-40.0,77.0,0.3233581326539745,0.32669017872660655,58.0,-41.0,0.3475929993168279,0.3096908068729926,-72.0,18.0
2700,0.020370370370370372,0.023703703703703703,0.019616129850005437,0.05525082182998914,0.3235252684083306,0.36095874424832786,55.0,-23.0,0.3417555470643536,0.31459054247747287,22.0,-41.0,0.33471918452731575,0.32445071327419917,-77.0,64.0
2800,0.02035714285714286,0.023928571428571428,0.0272282481740051,0.03277640900885348,0.3469474574203359,0.3497215378377601,57.0,-15.0,0.33028761464260964,0.31863020263822817,-38.0,67.0,0.32276492793705447,0.3316482595240118,-46.0,-25.0
2900,0.020689655172413793,0.021724137931034483,0.039345174594683285,0.026242441378919845,0.353005920630675,0.3382911839303904,-31.0,22.0,0.31889838655148517,0.3414967034257361,-26.0,63.0,0.32809569281783985,0.3202121126438734,60.0,-88.0
3000,0.017666666666666667,0.025333333333333333,0.03799545899889473,0.04758991555517805,0.3412390566096525,0.3523273651071845,-52.0,76.0,0.3143356038338859,0.33813425933707114,53.0,-23.0,0.3444253395564615,0.30953837555574426,20.0,-74.0
3100,0.017096774193548388,0.02129032258064516,0.006203976454435933,0.05791251628438049,0.3302313451061153,0.36228959147552364,-86.0,16.0,0.33592121013411685,0.33131483630173497,53.0,17.0,0.3338474447597677,0.3063955722227415,-66.0,66.0
3200,0.0146875,0.0215625,0.030305927245290354,0.03591377060826456,0.32809899093299655,0.3512902186374657,47.0,-94.0,0.3484862969559785,0.3218187186032301,-2.0,7.0,0.3234147121110249,0.32689106275930435,-27.0,69.0
3300,0.018484848484848486,0.019090909090909092,0.02718041918848846,0.014623454327205965,0.3423307701217802,0.3406450604969364,19.0,-96.0,0.33792610613913066,0.33297179210494293,-14.0,63.0,0.3197431237390891,0.3263831473981208,61.0,-33.0
3400,0.01852941176470588,0.01764705882352941,0.011929063739975099,0.026221297509329944,0.3327150317792876,0.3352438805029562,-98.0,60.0,0.3279871030173915,0.3445334349183754,-70.0,22.0,0.33929786520332084,0.32022268457866837,63.0,23.0
3500,0.02,0.020285714285714285,0.037008060419187694,0.041515376855765396,0.3232088880141651,0.35221932005268974,-43.0,71.0,0.3249537484429077,0.3352050350418596,70.0,-113.0,0.35183736354292716,0.31257564490545064,27.0,-12.0
3600,0.02,0.01972222222222222,0.03750923772730247,0.04418844351305379,0.31457871446968205,0.3554275550898603,21.0,-31.0,0.34255740119663025,0.32589378406847463,72.0,-124.0,0.3428638843336876,0.3186786608416652,-9.0,71.0
3700,0.02189189189189189,0.019189189189189187,0.015670498703306335,0.032494978749635084,0.3254980839816801,0.34582140495229646,81.0,-21.0,0.3409022523612657,0.31708584395851586,-68.0,-14.0,0.33359966365705407,0.3370927510891878,-49.0,71.0
3800,0.02131578947368421,0.019736842105263157,0.019505234163042284,0.01933979705173966,0.3430859504148544,0.33679648420179487,81.0,-32.0,0.3319311404570219,0.3236634348074635,-100.0,75.0,0.32498290912812355,0.3395400809907416,16.0,-40.0
3900,0.023076923076923078,0.016153846153846154,0.019826495519649656,0.01187427225746912,0.343228852258303,0.32989560547003,-27.0,45.0,0.3234200855735086,0.3392704694620679,-108.0,63.0,0.33335106216818855,0.3308339250679021,90.0,-63.0
4000,0.02025,0.01725,0.033582411816764024,0.021540512784257615,0.33575953238702305,0.34284321997904427,28.0,69.0,0.3165421274249513,0.3345937030797512,47.0,-89.0,0.3476983401880256,0.32256307694120456,81.0,-136.0
4100,0.022682926829268292,0.016829268292682928,0.021086458355293713,0.051076201585126935,0.3303275621827409,0.35887143412589684,-26.0,69.0,0.32579587530627885,0.32643288105341584,93.0,-37.0,0.34387656251098014,0.3146956848206874,-73.0,-26.0
4200,0.020714285714285713,0.01619047619047619,0.020765174497504757,0.056633877037331304,0.32295074608458096,0.361650271851999,27.0,-28.0,0.3413602286070812,0.3186606695997631,87.0,-34.0,0.33568902530833783,0.3196890585482379,-120.0,68.0
4300,0.02069767441860465,0.013255813953488372,0.015285017548209157,0.039812934160494196,0.3311418541030228,0.35323980041358044,89.0,-37.0,0.3409758421074379,0.3138441910830094,-27.0,57.0,0.32788230378953925,0.33291600850341013,-134.0,52.0
