seed,iterations,p1_avg_regret,p2_avg_regret,p1_avg_rock,p1_avg_paper,p1_avg_scissors,p2_avg_rock,p2_avg_paper,p2_avg_scissors,exploitability,algorithm
0,10000,0.008692471042163261,0.010241152543515743,0.34016729857621303,0.33281625588042213,0.3270164455433648,0.3287215004979644,0.3344578037831503,0.3368206957188854,0.009443578159017085,RM
1,10000,0.010161234725240734,0.01029055922494808,0.33697481650554995,0.3357719937390604,0.3272531897553896,0.33122078676346167,0.32908158761114503,0.3396976256253933,0.010168832382204313,RM
2,10000,0.008920179418862273,0.010198220271123964,0.3401959793619401,0.3325714442160147,0.3272325764220451,0.3285447872519302,0.3345933599311151,0.3368618528169547,0.009505987809539956,RM
3,10000,0.009456893512543186,0.010238633046227838,0.32721230265335705,0.3401182129804593,0.33266948436618354,0.3362996045674671,0.3285095751893961,0.33519082024313684,0.009793577690421496,RM
4,10000,0.00900992028681137,0.01021307694713591,0.3326349414230978,0.3273711177746887,0.33999394080221357,0.3347164987791765,0.33703210362791886,0.3282513975929046,0.009543962106898368,RM
0,10000,0.006549543174236495,0.00606284592250252,0.3319130705469411,0.3372487909634646,0.33083813848959437,0.3347170939585024,0.32946179513202506,0.3358211109094726,0.005847518096985527,CFR+
1,10000,0.005115850398739397,0.005123910137670819,0.3333967911182844,0.33670020437341713,0.3299030045082985,0.33339875525866497,0.33669498543248394,0.3299062593088511,0.0034931412798998866,CFR+
2,10000,0.005143636344436717,0.006774611644593163,0.33338899129767746,0.32989978449617546,0.336711224206147,0.33323195187179316,0.33678006080827005,0.32998798731993684,0.005179774323224223,CFR+
3,10000,0.006663640109393382,0.006768642817843531,0.3296417063471152,0.33636095892443807,0.3339973347284467,0.32966688571532227,0.33633674704266786,0.3339963672420098,0.00669455695233423,CFR+
4,10000,0.006591647578722518,0.0064974577008636335,0.3319622534957051,0.33085602458106683,0.33718172192322804,0.3319409914977718,0.33083103542658066,0.3372279730756475,0.006361317495614027,CFR+
