iteration,p1_avg_regret,p2_avg_regret,p1_l1_to_uniform,p2_l1_to_uniform,p1_avg_rock,p2_avg_rock,p1_regret_rock,p2_regret_rock,p1_avg_paper,p2_avg_paper,p1_regret_paper,p2_regret_paper,p1_avg_scissors,p2_avg_scissors,p1_regret_scissors,p2_regret_scissors
1,0.6520949193998185,0.9040968634737339,0.5182399019605457,0.3181217208227916,0.190356261691229,0.4427551603904561,0.5766638942890421,0.9040968634737339,0.21719045399516476,0.1742724729219375,0.46462580339102977,-0.25843392044055447,0.5924532843136062,0.38297236668760637,0.6520949193998185,0.46990256762916227
100,0.07462474393619348,0.09793937599266465,0.11763905707100669,0.10122116614417176,0.3251083849557226,0.33653599106827486,-7.75757953717124,9.793937599266465,0.2827387531754408,0.38074125867047764,7.462474393619348,-8.237091892358,0.39215286186883674,0.28272275026124744,7.017411670317013,-5.470202105931358
200,0.07280658690028226,0.059663882714766706,0.07404356487342967,0.09122921578570409,0.29631155089661854,0.3789479412261854,-8.656526854754825,7.84279401018097,0.3402929136510041,0.3263536674832253,14.561317380056453,-10.57969819221899,0.3633955354523774,0.29469839129058933,-12.291712758474713,11.932776542953341
300,0.061008031758060494,0.057498256508233016,0.07045622571098759,0.06044371301771162,0.32492433003499765,0.35645828586864065,-8.934140339716889,17.249476952469905,0.3065142237761752,0.3404302373068819,18.30240952741815,-14.84099554844806,0.36856144618882714,0.3031114768244776,-1.9943131571783062,-6.973487306802576
400,0.051970553014052755,0.041347068933542674,0.04900569256438231,0.0631659572938012,0.3578361796155245,0.30316947857144333,-17.66396677700466,11.635189923604774,0.3132378275351303,0.3649163119802339,-15.924139105826987,16.53882757341707,0.3289259928493452,0.3319142094483227,20.788221205621102,-12.565182692069063
500,0.0465687811020039,0.03899667736407609,0.0466906458545181,0.058742529867998605,0.3282117313420305,0.3365993944055108,23.28439055100195,-15.433880051020472,0.35667865626059236,0.30396206839933404,-15.836536232565736,11.51653042194047,0.31510961239737706,0.35943853719515517,-20.219893243652024,19.498338682038046
600,0.04212817829252949,0.041165531771130644,0.05347944369511787,0.04770289645779319,0.3257258159218987,0.3453475404796742,-17.692578845661263,24.699319062678388,0.314201128897209,0.34517057441588905,25.276906975517694,-23.8173511939012,0.3600730551808923,0.30948188510443675,4.167068709284137,-9.8244145801755
700,0.03851345607371777,0.038839843554191185,0.048551294237273,0.04565565498615315,0.35125240554292964,0.3221053627858491,26.95941925160244,-23.405797530229325,0.3396899082423735,0.3217334763877409,-20.942139474693175,27.187890487933828,0.3090576862146968,0.35616116082640986,3.152333272203636,-10.142755879075152
800,0.03690843213991458,0.03551978811387579,0.042319910953373285,0.043363574304709995,0.323050607544937,0.3508754849662372,-22.546422462885555,28.41583049110063,0.32245610364504307,0.33747296885278444,29.526745711931664,-22.753233583920732,0.35449328881002,0.31165154618097834,-12.058683609857601,2.2247135813738614
900,0.03418534763956227,0.034351903010232165,0.036456375448853384,0.043494796546600434,0.3457719302913122,0.3271405281955609,30.766812875606043,-17.9142232157697,0.3391229240997812,0.31777874019780555,-27.91428345313871,30.91671270920895,0.3151051456089067,0.35508073160663356,-10.67797498397349,-2.368093804190802
1000,0.028255537582213993,0.03217779044792508,0.0425028032022472,0.027521349774726256,0.33253946974615417,0.3373633698181974,-13.063366089041253,32.17779044792508,0.3128757953193889,0.3430639717358323,28.255537582213993,-31.96158528641856,0.35458473493445697,0.31957265844597016,16.681162724801304,-29.280589251738277
1100,0.031367554297985566,0.02966201649173424,0.03207781486406802,0.04219505235394705,0.3260049025110435,0.33860345531174607,34.50430972778412,-20.214410726974393,0.3493722407653674,0.3122358071563598,-17.68924511830082,8.144991154208615,0.32462285672358915,0.3491607375318941,-34.56491304988289,32.62821814090766
1200,0.029795610511527428,0.023372477729237628,0.026150891930159847,0.03940801251451009,0.34471264660114076,0.315848673045529,-35.73230351863154,28.046973275085154,0.32025788736825345,0.35303733959058836,-27.705779019442634,21.555724633931106,0.33502946603060585,0.3311139873638826,35.754732613832914,-19.11039785703278
1300,0.02845929918325384,0.028591773425053514,0.030274088326099124,0.03589975733563244,0.3181962891702838,0.35128321200114954,-15.771923287184679,-0.9292456503329665,0.34312418378480336,0.32890451446455526,36.99708893822999,-22.16457205646656,0.3386795270449129,0.31981227353429514,-32.49170326907316,37.16930545256957
1400,0.026799087372282565,0.02743961052435112,0.03716695831360883,0.028424146518017168,0.3473407369569081,0.3261915540010674,37.51872232119559,-39.24998679351349,0.337909408866563,0.3262630394065906,-22.135106357474573,38.41545473409157,0.31474985417652895,0.3475454065923419,8.376101435222262,-20.11623521177916
1500,0.02400614044013677,0.0264407304450679,0.03357771250024255,0.02608525751462204,0.3345580863758618,0.3292483250898365,-23.23523235404053,39.66109566760185,0.31654447708321204,0.34637596209064436,17.110938967289304,-30.762539697539438,0.3488974365409261,0.32437571281951916,36.009210660205156,-35.97452311577416
1600,0.020781070427855233,0.02556136332847987,0.03468898776811519,0.020871383928280585,0.31598883944927575,0.34376902529747366,24.429682839629663,-36.787957984846905,0.34953581353505103,0.324727464459979,33.24971268456837,-42.65479459105214,0.3344753470156732,0.3315035102425474,-16.32587414612465,40.89818132556779
