iteration,p1_avg_regret,p2_avg_regret,p1_l1_to_uniform,p2_l1_to_uniform,p1_avg_rock,p2_avg_rock,p1_regret_rock,p2_regret_rock,p1_avg_paper,p2_avg_paper,p1_regret_paper,p2_regret_paper,p1_avg_scissors,p2_avg_scissors,p1_regret_scissors,p2_regret_scissors
1,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0
100,0.1,0.04,0.006502719502719356,0.0811154401154402,0.3345969585969587,0.37389105339105344,-3.0,4.0,0.33532106782106763,0.3172261904761905,10.0,-1.0,0.33008197358197366,0.30888275613275606,-10.0,0.0
200,0.025,0.07,0.10454645354645359,0.06712988400488401,0.3666496905871906,0.3532895021645021,5.0,-6.0,0.35229020285270285,0.29976839133089134,-2.0,14.0,0.28106010656010655,0.34694210650460655,-15.0,4.0
300,0.03,0.04666666666666667,0.09359718984718979,0.03908060022765919,0.3790083370791576,0.3137930332195038,-3.0,14.0,0.2865347384097385,0.349391657877726,-3.0,2.0,0.334456924511104,0.3368153089027703,9.0,-19.0
400,0.0475,0.0175,0.04587308677304813,0.07902845045821066,0.35626987671985744,0.3021003966077495,-22.0,7.0,0.3117108425952273,0.37284755856243873,-3.0,5.0,0.3320192806849153,0.32505204482981187,19.0,-6.0
500,0.05,0.012,0.05619241621795823,0.07699607004049741,0.3614295414423124,0.3000762990821813,25.0,-11.0,0.321383567434744,0.32809233256423664,-24.0,6.0,0.31718689112294346,0.37183136835358205,17.0,-13.0
600,0.08333333333333333,0.021666666666666667,0.06073793017426382,0.06443552344532716,0.32557896960796695,0.3655510950559969,-1.0,13.0,0.31071873197156785,0.32458943131601803,50.0,-35.0,0.3637022984204653,0.30985947362798505,-10.0,-17.0
700,0.07,0.04285714285714286,0.04317701223158338,0.08698549846426751,0.3418456182674821,0.33735203018658894,49.0,-22.0,0.3464095545149763,0.2898405841011996,-25.0,30.0,0.3117448272175417,0.3728073857122115,-45.0,13.0
800,0.055,0.025,0.05297441634787986,0.07031716806950522,0.3558028001771129,0.30373086890552536,-32.0,20.0,0.30684612515939336,0.3684919173680859,-6.0,10.0,0.3373510746634936,0.3277772137263886,44.0,-36.0
900,0.058888888888888886,0.027777777777777776,0.038935954965899466,0.037860510141336234,0.31626915571298925,0.35226358840400146,-1.0,-26.0,0.35280131081628296,0.3290341259796091,53.0,-29.0,0.33092953347072757,0.3187022856163894,-22.0,25.0
1000,0.039,0.017,0.060572688528605256,0.03768938189726867,0.3507768734466332,0.31703722956360136,39.0,-65.0,0.346176137484336,0.33078474615443104,7.0,17.0,0.30304698906903066,0.35217802428196776,32.0,-30.0
