iteration,p1_avg_regret,p2_avg_regret,p1_l1_to_uniform,p2_l1_to_uniform,p1_avg_rock,p2_avg_rock,p1_regret_rock,p2_regret_rock,p1_avg_paper,p2_avg_paper,p1_regret_paper,p2_regret_paper,p1_avg_scissors,p2_avg_scissors,p1_regret_scissors,p2_regret_scissors
1,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
100,0.39,0.04,0.140686503893294,0.18694444444444464,0.293435867509397,0.41688095238095246,8.0,4.0,0.3028875472106227,0.34325793650793657,39.0,-37.0,0.4036765852799804,0.23986111111111108,10.0,-24.0
200,0.215,0.04,0.2343699213441564,0.1435277777777777,0.42013399878456154,0.2971904761904762,43.0,-39.0,0.3637176285541834,0.2977123015873016,3.0,8.0,0.2161483726612552,0.4050972222222222,20.0,-35.0
300,0.17666666666666667,0.043333333333333335,0.08430658268073365,0.12653703703703711,0.32575185728110356,0.3596835147423383,-7.0,13.0,0.2987615180451963,0.37025167044284696,53.0,-50.0,0.3754866246737002,0.2700648148148148,29.0,-38.0
400,0.155,0.0325,0.1521892985971124,0.11128916100239633,0.2981566093423592,0.35305479875516643,62.0,-58.0,0.40942798263188956,0.27768875283213523,21.0,-36.0,0.2924154080257513,0.36925644841269845,-2.0,13.0
500,0.132,0.032,0.11409870525098653,0.1017789886584004,0.3903826859588266,0.2824438390041331,26.0,-40.0,0.3316318478298277,0.3593192707630384,-11.0,16.0,0.2779854662113457,0.35823689023282845,66.0,-57.0
600,0.095,0.03166666666666667,0.06840776768876211,0.06960518294528595,0.3299598345970133,0.34638247004788325,-6.0,19.0,0.3025029482252723,0.3550867880914264,57.0,-62.0,0.36753721717771437,0.2985307418606904,36.0,-44.0
700,0.07571428571428572,0.03142857142857143,0.08065386760447307,0.05794645850993574,0.30369186887674904,0.35170549637865633,53.0,-55.0,0.3736602671355698,0.3043601040783655,33.0,-48.0,0.322647863987681,0.3439343995429782,-5.0,22.0
800,0.07125,0.03,0.0777209774642082,0.054703020880166264,0.3716704956779505,0.3077423093313242,57.0,-65.0,0.3338566597208202,0.33157284689525934,-7.0,24.0,0.2944728446012292,0.3606848437734165,55.0,-64.0
900,0.09222222222222222,0.03222222222222222,0.0716221389471206,0.07094025325043113,0.3444502808289627,0.3105877900206365,-19.0,29.0,0.29752226385977304,0.36880345995854896,17.0,-40.0,0.3580274553112643,0.3206087500208146,83.0,-70.0
1000,0.091,0.027,0.04760752041549521,0.08867557326816439,0.31000525274606644,0.3776711199674156,-42.0,27.0,0.3328576537128527,0.3319231139626941,91.0,-53.0,0.35713709354108103,0.29040576606989044,-40.0,17.0
1100,0.07272727272727272,0.03,0.07399484171009063,0.06317009582540467,0.304999160774275,0.3506306052974915,80.0,-76.0,0.3703307541883787,0.30174828542063103,37.0,-56.0,0.32467008503734635,0.3476211092818775,-18.0,33.0
1200,0.06666666666666667,0.030833333333333334,0.06728842673420121,0.05424313916451062,0.35751366068890783,0.3214113881893672,80.0,-74.0,0.3427972193448594,0.3181337088950441,-16.0,37.0,0.2996891199662327,0.3604549029155886,29.0,-56.0
1300,0.07307692307692308,0.023846153846153847,0.038848764138832925,0.06983711728278413,0.3527577154027498,0.299020505333962,-45.0,21.0,0.31642820247217796,0.3682518919747254,-41.0,31.0,0.33081408212507224,0.3327276026913126,95.0,-61.0
1400,0.06928571428571428,0.02642857142857143,0.0549198888706085,0.04874397595422897,0.3275607357311249,0.3430596471278837,-7.0,37.0,0.3116459865002376,0.3479790075158974,97.0,-96.0,0.3607932777686377,0.30896134535621883,57.0,-88.0
1500,0.08333333333333333,0.025333333333333333,0.0552199599685671,0.08511050169206019,0.3057233533490499,0.3758885841793634,-31.0,5.0,0.35135749397978716,0.3247804070148375,125.0,-70.0,0.34291915267116313,0.299331008805799,-67.0,38.0
1600,0.063125,0.02375,0.07934699286337443,0.05770340351384623,0.305506464605764,0.3525299794351006,101.0,-93.0,0.3730068297650206,0.3044816315764103,57.0,-68.0,0.32148670562921544,0.3429883889884892,-35.0,38.0
1700,0.0688235294117647,0.02823529411764706,0.06151522077637883,0.05763450949263332,0.3416557008794731,0.33179292182127107,117.0,-77.0,0.355768576175383,0.3060564900990789,-37.0,48.0,0.30257572294514395,0.36215058807965,-29.0,-22.0
1800,0.06277777777777778,0.02666666666666667,0.059247506648599124,0.03994670322648797,0.3600446570637365,0.31335998172008933,59.0,-90.0,0.33624576292722974,0.34460890731579674,5.0,48.0,0.3037095800090338,0.34203111096411387,113.0,-135.0
1900,0.07526315789473684,0.020526315789473684,0.028867431006782407,0.07941053904016537,0.345660357383962,0.30293192360163396,-72.0,39.0,0.31889961782994214,0.373038602853416,-26.0,22.0,0.33544002478609586,0.32402947354495,143.0,-106.0
2000,0.051,0.0235,0.045203661221332736,0.05101066693126155,0.3283773395147639,0.336054477277752,-44.0,47.0,0.3156874965412364,0.3561175228545454,102.0,-80.0,0.3559351639439997,0.30782799986770254,83.0,-108.0
